CUSTOMERID,GENDER,SENIORCITIZEN,PARTNER,DEPENDENTS,TENURE,PHONESERVICE,MULTIPLELINES,INTERNETSERVICE,ONLINESECURITY,ONLINEBACKUP,DEVICEPROTECTION,TECHSUPPORT,STREAMINGTV,STREAMINGMOVIES,CONTRACT,PAPERLESSBILLING,PAYMENTMETHOD,MONTHLYCHARGES,TOTALCHARGES,CHURN
5365,0,-0.440327089412664,True,False,-1.2802480369298874,False,1,0,0,2,0,0,0,0,0,True,2,-1.1616939352451685,-0.9941940877241977,False
3953,1,-0.440327089412664,False,False,0.06430268518835193,True,0,0,2,0,2,0,0,0,1,False,3,-0.2608779199297493,-0.17373981825040724,False
2558,1,-0.440327089412664,False,False,-1.2395040756535771,True,0,0,2,2,0,0,0,0,0,True,3,-0.3639232943754246,-0.9596491092068434,True
5524,1,-0.440327089412664,False,False,0.512486259227765,False,1,0,2,0,2,2,0,0,1,False,0,-0.747850415293989,-0.19524770717404732,False
6500,0,-0.440327089412664,False,False,-1.2395040756535771,True,0,1,0,0,0,0,0,0,0,True,2,0.19617817640187488,-0.94045745447498,True
6540,0,-0.440327089412664,False,False,-0.9950403079957154,True,2,1,0,0,2,0,2,2,0,True,2,1.1584890119510036,-0.6453692184426381,True
1001,1,-0.440327089412664,False,True,-0.42462485012737144,True,2,1,0,2,0,0,2,0,0,True,1,0.8078023344020117,-0.14731268909089865,False
4760,0,-0.440327089412664,False,False,-0.9135523854430948,False,1,0,2,0,0,0,0,0,0,False,3,-1.1650179795821258,-0.8741690378436584,False
5593,0,-0.440327089412664,True,False,-0.18016108246950976,True,2,1,0,0,2,2,2,2,0,True,2,1.3296772953043026,0.33651554451135574,True
4524,1,-0.440327089412664,False,True,1.2051336009250397,True,0,0,2,2,0,0,0,0,1,False,0,-0.28747027462540753,0.5314762853391823,False
6860,1,-0.440327089412664,True,True,-0.791320501614164,True,0,0,2,0,0,0,0,0,0,True,3,-0.4935610235167579,-0.7481879571842651,False
5278,1,-0.440327089412664,False,False,-0.6690886177852331,True,0,2,1,1,1,1,1,1,2,False,1,-1.5240147679735105,-0.8631834699626608,False
5740,1,-0.440327089412664,True,False,1.0421577558197987,True,2,1,0,0,2,0,2,2,1,False,1,1.181757322309704,1.4990665744239262,False
174,1,-0.440327089412664,False,False,0.6754621043330061,True,2,1,0,2,2,0,2,2,0,True,0,1.2931128075977727,1.2145888969272465,True
3606,1,-0.440327089412664,False,False,-0.3023929662984406,True,0,1,2,0,2,2,2,2,0,True,2,1.3529456056630036,0.17768805707524432,False
2550,0,-0.440327089412664,True,True,1.4903413298592119,True,2,1,2,2,2,2,2,2,2,False,1,1.6105590417771916,2.475877681529266,False
5809,0,-0.440327089412664,False,False,0.797693988161937,True,0,2,1,1,1,1,1,1,1,False,3,-1.4675060142452372,-0.5560508161330804,False
7008,1,-0.440327089412664,False,True,1.5718292524118322,True,2,1,2,0,2,0,2,2,2,False,0,1.3928341377064908,2.2495926306793175,False
2930,0,-0.440327089412664,True,True,-0.9135523854430948,True,0,0,0,0,2,2,0,0,0,False,1,-0.3190486958265014,-0.7742621363716935,True
2921,0,-0.440327089412664,False,False,-0.46536881140368175,True,0,1,0,2,2,0,0,2,0,True,2,0.8393807556031058,-0.18547540482207542,False
6196,1,2.271039016322759,False,False,-1.2802480369298874,False,1,0,0,0,2,0,0,2,0,True,2,-0.8359375902233565,-0.9898704505662146,True
1140,1,-0.440327089412664,True,False,-0.8320644628904743,True,0,2,1,1,1,1,1,1,1,False,0,-1.495760391109374,-0.9181333687409043,False
723,1,-0.440327089412664,False,False,-1.2802480369298874,True,0,2,1,1,1,1,1,1,0,False,3,-1.4841262359300234,-0.9984736061356706,True
2535,0,-0.440327089412664,True,False,1.0421577558197987,True,2,0,0,2,0,2,0,0,2,True,1,-0.16281861198951006,0.5390426503656527,False
4469,1,-0.440327089412664,True,True,0.6754621043330061,True,0,0,2,2,0,2,0,0,0,False,1,-0.17279074500038175,0.3030955940300073,False
4863,0,-0.440327089412664,False,False,-0.09867315991688919,True,0,0,2,2,0,0,0,0,0,True,0,-0.3157246514895444,-0.33208199947490835,False
4574,1,-0.440327089412664,True,True,0.5939741817803856,True,2,1,0,2,0,0,2,2,0,True,2,1.1485168789401314,1.0879019163236925,True
6108,1,-0.440327089412664,True,True,-1.2802480369298874,False,1,0,0,2,0,0,0,0,0,False,2,-1.150059780065818,-0.9940396721114126,True
